164,AECOM,161,339.40 ,253.10,87000,Michael S. Burke,Engineering &  Construction,"Engineering, Construction",Los Angeles,CA,34.0522342,-118.2436849
165,PNC Financial Services,166,5338.00 ,36.80,51632,William S. Demchak,Financials,Commercial Banks,Pittsburgh,PA,40.4406248,-79.9958864
166,CenturyLink,160,1389.00 ,121.90,51000,Jeffrey K. Storey,Telecommunications,Telecommunications,Monroe,LA,32.5093109,-92.1193012
167,NextEra Energy,170,5378.00 ,84.70,14000,James L. Robo,Energy,Utilities: Gas and Electric,North Palm Beach,FL,26.8797819,-80.0533743
168,PG& E Corp.,157,1646.00 ,18.20,23000,Geisha J. Williams,Energy,Utilities: Gas and Electric,SF,CA,37.7749295,-122.4194155
169,Synnex,198,301.20 ,28.20,113600,Dennis Polk,Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,CA,37.5482697,-121.9885719
170,WellCare Health Plans,195,373.70 ,54.40,8900,Kenneth A. Burdick,Health Care,Health Care: Insurance and Managed Care,Tampa,FL,27.950575,-82.4571776
171,Performance Food Group,171,96.30 ,41.00,14000,George L. Holm,Wholesalers,Wholesalers: Food and Grocery,Richmond,VA,37.5407246,-77.4360481
172,Sears Holdings,127,383.00,-,89000,Edward S. Lampert,Retailing,General Merchandisers,Hoffman Estates,IL,42.0629915,-88.1227199
173,Synchrony Financial,185,1935.00 ,-14.00,16000,Margaret M. Keane,Financials,Diversified Financials,Stamford,CT,41.0534302,-73.5387341
174,CarMax,174,627.00 ,0.60,24344,William D. Nash,Retailing,"Automotive Retailing, Services",Richmond,VA,37.5407246,-77.4360481
175,Bank of New York Mellon,177,4090.00 ,15.30,52500,Charles W. Scharf,Financials,Commercial Banks,New York City,NY,40.7127753,-74.0059728
176,Freeport-McMoRan,175,1817.00 ,-,25200,Richard C. Adkerson,Energy,"Mining, Crude-Oil Production",Phoenix,AZ,33.4483771,-112.0740373
177,Genuine Parts,180,616.80 ,-10.30,48000,Paul D. Donahue,Wholesalers,Wholesalers: Diversified,Atlanta,GA,33.7489954,-84.3879824
178,Emerson Electric,139,1518.00 ,-7.20,76500,David N. Farr,Industrials,Industrial Machinery,St. Louis,MO,38.6270025,-90.1994042
179,DaVita,181,663.60 ,-24.60,74500,Kent J. Thiry,Health Care,Health Care: Medical Facilities,Denver,CO,39.7392358,-104.990251
180,Supervalu,158,650.00 ,265.20,29000,Mark Gross,Food &  Drug Stores,Food and Drug Stores,Eden Prairie,MN,44.8546856,-93.470786
181,Gap,178,848.00 ,25.40,135000,Arthur L. Peck,Retailing,Specialty Retailers: Apparel,SF,CA,37.7749295,-122.4194155
182,General Mills,165,1657.50 ,-2.40,38000,Jeffrey L. Harmening,"Food, Beverages &  Tobacco",Food Consumer Products,Minneapolis,MN,44.977753,-93.2650108
183,Nordstrom,188,437.00 ,23.40,76000,Blake W. Nordstrom,Retailing,General Merchandisers,Seattle,WA,47.6062095,-122.3320708
184,Colgate-Palmolive,182,2024.00 ,-17.10,35900,Ian M. Cook,Household Products,Household and Personal Products,New York,NY,40.7127753,-74.0059728
185,American Electric Power,167,1912.60 ,213.10,17666,Nicholas K. Akins,Energy,Utilities: Gas and Electric,Columbus,OH,39.9611755,-82.9987942
186,XPO Logistics,191,340.20 ,393.00,95000,Bradley S. Jacobs,Transportation,Transportation and Logistics,Greenwich,CT,41.0262417,-73.6281964
187,Goodyear Tire & Rubber,184,346.00 ,-72.60,64000,Richard J. Kramer,Motor Vehicles &  Parts,Motor Vehicles and Parts,Akron,OH,41.0814447,-81.5190053
188,Omnicom Group,179,1088.40 ,-5.20,77300,John D. Wren,Business Services,"Advertising, marketing",New York,NY,40.7127753,-74.0059728
189,CDW,199,523.00 ,23.20,8726,Thomas E. Richards,Technology,Information Technology Services,Lincolnshire,IL,42.1900249,-87.9084039
